Código,Sucesso,Msg_erro
INDEX_BVSP,True,
SELIC,True,
ABEV3,True,
BBAS3,True,
BBDC3,True,
BBDC4,True,
BBSE3,True,
BRAP4,True,
BRFS3,True,
BRKM5,True,
BRML3,True,
BVMF3,True,
CCRO3,True,
CIEL3,True,
CMIG4,True,
CPFE3,True,
CPLE6,True,
CSAN3,True,
CSNA3,True,
CTIP3,True,
CYRE3,True,
ECOR3,True,
EGIE3,False,(Status 404) (Quandl Error QECx02) You have submitted an incorrect Quandl code. Please check your Quandl codes and try again.
ELET3,True,
EMBR3,True,
ENBR3,True,
EQTL3,True,
ESTC3,True,
FIBR3,True,
GGBR4,True,
GOAU4,True,
HYPE3,True,
ITSA4,True,
ITUB4,True,
JBSS3,True,
KLBN11,False,(Status 404) (Quandl Error QECx02) You have submitted an incorrect Quandl code. Please check your Quandl codes and try again.
KROT3,True,
LAME4,True,
LREN3,True,
MRFG3,True,
MRVE3,True,
MULT3,True,
NATU3,True,
PCAR4,True,
PETR3,True,
PETR4,True,
QUAL3,True,
RADL3,True,
RAIL3,False,(Status 404) (Quandl Error QECx02) You have submitted an incorrect Quandl code. Please check your Quandl codes and try again.
RENT3,True,
SANB11,True,
SBSP3,True,
SMLE3,True,
SUZB5,True,
TIMP3,True,
UGPA3,True,
USIM5,True,
VALE3,True,
VALE5,True,
VIVT4,True,
WEGE3,True,
